mutation_rate,transition_matrix_AT,transition_matrix_AC,transition_matrix_AG,transition_matrix_TA,transition_matrix_TC,transition_matrix_TG,transition_matrix_CA,transition_matrix_CT,transition_matrix_CG,transition_matrix_GA,transition_matrix_GT,transition_matrix_GC
0.00034298839195573167,0.8422612111514063,0.07599412278148243,0.0817446660671112,0.17681373842624884,0.32006576910252743,0.5031204924712238,0.662558807328668,0.2977991906619705,0.039642002009361466,0.04985310946587207,0.5387270814488708,0.41141980908525705
5.6056759095553254e-05,0.12118069127773554,0.07683952079272965,0.8019797879295348,0.03508306801644928,0.2568193294331024,0.7080976025504483,0.025431469013608876,0.6102527970446212,0.36431573394176986,0.2211505170844703,0.4635045095655804,0.3153449733499493
0.00046916355263094636,0.41423411384080405,0.012911105634155706,0.5728547805250402,0.041805327192422304,0.15397562452704977,0.8042190482805278,0.16770399272303546,0.5666204549156878,0.2656755523612767,0.30674385993281794,0.4626658212863737,0.23059031878080838
0.0006924255036917229,0.29678098753211846,0.19904730498707673,0.5041717074808048,0.18954487992885072,0.25496686750212827,0.5554882525690209,0.301790595150861,0.6951896513596597,0.0030197534894791933,0.2861946194380508,0.26228158842042787,0.45152379214152133
0.00019551864736291321,0.3617089743332153,0.0029103392773208725,0.635380686389464,0.014186422935271725,0.20046131452355637,0.7853522625411719,0.17409855783172842,0.7731489931648853,0.052752449003386326,0.13240732224736895,0.19589880243269717,0.671693875319934
0.0002851822143150446,0.4152555279154483,0.18376199864404344,0.40098247344050836,0.16833267466666404,0.15719653172615813,0.6744707936071779,0.10096333057177526,0.5951061277845735,0.3039305416436512,0.08596972374393513,0.5487697677679264,0.36526050848813846
0.0003812362528403132,0.3508759394070336,0.23623509369744652,0.4128889668955198,0.33523956053954557,0.13836583193595176,0.5263946075245027,0.08269016812983182,0.6821253098862735,0.2351845219838947,0.23761112873417092,0.7430291889923274,0.0193596822735016
7.700731223488349e-05,0.47764816609876454,0.02006660030450408,0.5022852335967314,0.2187762452808478,0.32133049552530135,0.4598932591938507,0.05672971175145308,0.7144760027541307,0.2287942854944162,0.1374082827152663,0.44371790170826714,0.4188738155764666
0.0007175190018869025,0.027418555422609625,0.2009893312602364,0.7715921133171539,0.3030847182491316,0.20703160790291966,0.48988367384794884,0.3203120120509025,0.4062651592961766,0.27342282865292095,0.143625161019833,0.549970362611224,0.30640447636894297
0.0007293702834565291,0.631906252130398,0.02830563736591213,0.3397881105036899,0.1791324001887803,0.11918570416210073,0.701681895649119,0.29224936879356167,0.17076910645593785,0.5369815247505004,0.2329883305380159,0.5588701623075685,0.20814150715441554
0.00014324307696324582,0.07996394374095422,0.07221238975884103,0.8478236665002048,0.10619535952348691,0.15262813186276308,0.7411765086137501,0.1658658735682273,0.6740777786220074,0.16005634780976533,0.2754842155904581,0.4122998041854175,0.31221598022412445
0.0002493992713864007,0.15260166422907517,0.3514754663749224,0.4959228693960023,0.11136619593888347,0.0990219463092365,0.78961185775188,0.45097952199095714,0.3500145464588239,0.19900593155021887,0.2036501546310316,0.5154738647807369,0.28087598058823143
0.00036361946078958696,0.3122835417114838,0.14568544466636135,0.5420310136221549,0.15864530923701273,0.3660658064981563,0.47528888426483096,0.2794212051583477,0.5888165284383666,0.1317622664032858,0.09085776142492685,0.4798422924059151,0.42929994616915806
0.0005129200704097858,0.31762123961017846,0.04156387024830255,0.6408148901415189,0.07179239558060779,0.0875396163999681,0.8406679880194241,0.2954683474432061,0.2906367419123169,0.4138949106444768,0.35701085862996906,0.49576484810523985,0.14722429326479108
0.0001455519649259279,0.27506392082680853,0.3738193582499745,0.35111672092321705,0.2831140691566807,0.2079060493922582,0.5089798814510611,0.3649796510683418,0.5733857094739405,0.06163463945771769,0.32620326115045634,0.39121551062133963,0.282581228228204
0.0008296541326391418,0.05545807953569054,0.042986599188178654,0.9015553212761309,0.11936024278207319,0.19493644733102994,0.6857033098868969,0.16345617473641402,0.5096383830059493,0.3269054422576367,0.20065235773338125,0.44889952204337374,0.35044812022324495
0.000527398268454627,0.33576859175927687,0.10552199782035071,0.5587094104203724,0.06514550515932072,0.21350237094103913,0.7213521238996401,0.36598891026217373,0.3906928817495801,0.24331820798824616,0.35481347376718264,0.3150456160610356,0.3301409101717817
