pred_mutation_rate,pred_transition_matrix_AA,pred_transition_matrix_AT,pred_transition_matrix_AC,pred_transition_matrix_AG,pred_transition_matrix_TA,pred_transition_matrix_TT,pred_transition_matrix_TC,pred_transition_matrix_TG,pred_transition_matrix_CA,pred_transition_matrix_CT,pred_transition_matrix_CC,pred_transition_matrix_CG,pred_transition_matrix_GA,pred_transition_matrix_GT,pred_transition_matrix_GC,pred_transition_matrix_GG
5.715967460136886e-06,0.20408770026249345,0.03448330586655099,0.3092409056349977,0.41627081207887695,0.15578882743490663,0.19855701330503003,0.4410249327263963,0.16625555386695245,0.10011696026432262,0.23094720662596982,0.30873515182569866,0.28829494083078133,0.2729566014717759,0.4637843602976085,0.05245211041759898,0.1661118139001058
9.358591180216303e-06,0.2359957782023099,0.256884958102873,-0.04294869559507555,0.610579257248675,-0.0012562989811004122,0.21350729951334824,0.0023014588097419186,0.8733450839290493,0.10216926587014247,0.6740157499825916,0.17242087485584268,0.1234830827617529,0.1611558194477092,0.3127961103498747,0.3496213888229155,0.21525947758336758
6.427458423791954e-06,0.33836818028093396,0.02181909254267464,0.2140762568941291,0.37455961775779956,0.22666998640326025,0.2784997946264513,0.03307183619441317,0.4178541684515439,0.4278132507580896,0.3339236864392378,-0.023991606417700706,0.2501463881242326,-0.013847788153052043,0.6363399515545517,0.13043052438403874,0.2247218438965244
5.142948305429875e-06,0.2563011074830893,0.11471752134822186,0.10165579092903021,0.466675151169195,0.18878400737294335,0.24975431709384166,0.37487358108771907,0.11286244620941319,0.08766227126900225,0.3419931605190624,0.15369324168627274,0.340759562637424,0.22577285368403713,0.3646399421574302,0.1405793253360672,0.20268558181299023
3.7005801027625226e-06,0.37153764682211055,0.1432464066341293,0.10351284962207727,0.2662702680347216,0.27854241132906565,0.22080635567057627,0.24972756800250584,0.1590364392522478,0.28777903999425103,0.274919628564797,0.030590917277209334,0.3223868754682725,0.18883990330297915,0.30287702481459244,0.14635218670123662,0.25809941467683417
6.223271215425985e-06,0.3822481317040333,-0.042147624550948726,0.18745858259088793,0.4204730006932533,0.2844277140479572,0.2561925841845661,0.3639929469652604,0.059470054457939764,0.07598048998111168,0.657569650659221,0.004048051874662756,0.23316577471588823,0.36715036220345254,0.3875640452415994,0.02478302542582969,0.19710393835464143
2.6385731117057716e-06,0.28697326462524597,0.1047742391251775,0.25421712394144524,0.21762763708948824,0.22711863787548717,0.24357236093530527,0.1945410536408417,0.20897633585870543,0.1604379178378081,0.28394404180277355,0.1340875876175721,0.2960510603757684,0.134527236435872,0.24652693266437753,0.24173112963352822,0.24754204327208026
4.250376956782044e-06,0.2126674329884333,0.15383366074523663,0.1019874313387456,0.46460931985447645,0.19304298478786408,0.3264863245460128,0.1784791870999507,0.19756616336659316,0.11966834408728125,0.3121330806452147,0.13270172117283385,0.34612015427707044,0.39434513422060546,0.18437071770185265,0.12668083114248235,0.20232113165669235
2.19716945996918e-06,0.33976482437125477,0.14469161223918336,0.1478891100925942,0.21257738731678888,0.21288087611300938,0.21230880643398992,0.18018284719345012,0.2678405370382998,0.19605461840742872,0.29522766063936123,0.10442655842030177,0.2744183775320365,0.12779480713348468,0.2699817256908966,0.20946106271255344,0.2559710944899354
4.56618537108801e-06,0.3177017191305517,0.07990968462936701,0.2665737240576124,0.24719433096391843,0.10683910189244036,0.01784778079735408,0.748991214981976,0.10806790592487961,0.13223964082010825,0.21433790726213328,0.3508772925580044,0.21682334380067403,0.1359917261331296,0.30393427415768476,0.23265247324687863,0.24197050018023042
3.0858530865524525e-06,0.2698696798049327,0.15228213326324747,0.1734929832024282,0.2884861259227284,0.18172794252595015,0.31188455469438753,0.20157136176203896,0.17927942264207106,0.17456035550811294,0.35884577664808015,0.05268867913874717,0.30675848675097994,0.18404261698843255,0.25400103677688357,0.1850617202429924,0.25368173028037894
