pred_mutation_rate,pred_transition_matrix_AT,pred_transition_matrix_AC,pred_transition_matrix_AG,pred_transition_matrix_TA,pred_transition_matrix_TC,pred_transition_matrix_TG,pred_transition_matrix_CA,pred_transition_matrix_CT,pred_transition_matrix_CG,pred_transition_matrix_GA,pred_transition_matrix_GT,pred_transition_matrix_GC
4.987278190621982e-06,0.4911545687459702,0.26992302461990936,0.20451730383580663,0.100455501670947,0.10925478573223893,0.752605925051985,0.33756067605676293,0.29566164089169494,0.32105912620985094,0.6285533151392797,0.2361009043582519,0.12330233969320525
1.2758599682535433e-05,0.9302926895139887,0.045917584899873354,0.15216155992596714,0.45830067665961705,0.15165798147014325,0.4886196478790734,1.4041678499374257,-0.3359980160738762,0.03191819014472208,0.8202267153274267,0.168633359649207,0.13942216446150468
4.16915885443453e-06,0.38887223563240625,0.36125423685764996,0.2059904166990761,0.1377783531873043,0.25174654500314525,0.5596989771585903,0.4625819630370631,0.2744464539392208,0.20440274107718862,0.3559428446829779,0.1845157500999405,0.43616813900027984
2.912185893883555e-06,0.3712927836343737,0.3081824157392885,0.24873174076472676,0.25581721151437103,0.3511366340008634,0.3216948336417613,0.32042804775442835,0.3315122535819913,0.26362080031822166,0.349564619986955,0.27710925728630303,0.32251384954357293
5.109714464933707e-06,0.3149800978559336,0.2887447861939032,0.3629579291736002,0.20683325130207106,0.20659569908764963,0.5512575505431878,0.3033616898139998,0.4409257710344332,0.21910514829627983,0.18529253902374213,0.32926160619262124,0.46575526380185484
4.234230223654335e-06,0.4005162058180462,0.3250890034606973,0.23057992748604295,0.18652169679521943,0.3099449251965029,0.4553773589900523,0.40979434890906713,0.19380119038992263,0.3383459967615005,0.4747372502636776,0.22097520296093598,0.2784959888308766
1.7536449561277682e-06,0.27739042560743576,0.334385903463891,0.294277591023074,0.3134760753232667,0.3315042210698745,0.2623580400599973,0.25952863246977215,0.32330869248756294,0.3117815343877583,0.26041878898870846,0.29461117948733545,0.3725672019651199
4.773030837717313e-06,0.5189477133771213,0.22742781671744697,0.21846261314520235,0.25081943592385453,0.2107909286387728,0.4942087540045293,0.6139979082893343,0.143651970330983,0.1893545290064025,0.45130633052332264,0.3478012263161189,0.1855417850701195
2.076572057709602e-06,0.3208565049891393,0.3086771727813973,0.2827883454956167,0.29033438282122404,0.3706716156475515,0.2525129190811173,0.32243275497098234,0.30516046332993035,0.27353843545622514,0.24703315051215563,0.2871475276463403,0.39938082617399856
6.834118237018198e-06,0.7707559218946846,0.13414485894099548,0.10302213516705969,0.19389724367229702,0.44529439087720607,0.3700112658898188,0.572289736604974,0.14212456794857017,0.275049063418602,0.863633375993885,-0.04049612300757993,0.2051137247957795
